lat,lon,patch_idx
40.778477,-73.96088,ny_525
40.777299,-73.96088,ny_526
40.776121,-73.96088,ny_527
40.774943,-73.96088,ny_528
40.773765,-73.96088,ny_529
40.772587,-73.96088,ny_530
40.771409,-73.96088,ny_531
40.770231,-73.96088,ny_532
40.769052,-73.96088,ny_533
40.767874,-73.96088,ny_534
40.766696,-73.96088,ny_535
40.765518,-73.96088,ny_536
40.764339,-73.96088,ny_537
40.763161,-73.96088,ny_538
40.761983,-73.96088,ny_539
40.760805,-73.96088,ny_540
40.759626,-73.96088,ny_541
40.758448,-73.96088,ny_542
40.757269,-73.96088,ny_543
40.756091,-73.96088,ny_544
40.754913,-73.96088,ny_545
40.753734,-73.96088,ny_546
40.752556,-73.96088,ny_547
40.751377,-73.96088,ny_548
40.750199,-73.96088,ny_549
40.74902,-73.96088,ny_550
40.747842,-73.96088,ny_551
40.746663,-73.96088,ny_552
40.745484,-73.96088,ny_553
40.744306,-73.96088,ny_554
40.786723,-73.959311,ny_555
40.785545,-73.959311,ny_556
40.784367,-73.959311,ny_557
40.783189,-73.959311,ny_558
40.782011,-73.959311,ny_559
40.780833,-73.959311,ny_560
40.779655,-73.959311,ny_561
40.778477,-73.959311,ny_562
40.777299,-73.959311,ny_563
40.776121,-73.959311,ny_564
40.774943,-73.959311,ny_565
40.773765,-73.959311,ny_566
40.772587,-73.959311,ny_567
40.771409,-73.959311,ny_568
40.770231,-73.959311,ny_569
40.769052,-73.959311,ny_570
40.767874,-73.959311,ny_571
40.766696,-73.959311,ny_572
40.765518,-73.959311,ny_573
40.764339,-73.959311,ny_574
40.763161,-73.959311,ny_575
40.761983,-73.959311,ny_576
40.760805,-73.959311,ny_577
40.759626,-73.959311,ny_578
40.758448,-73.959311,ny_579
40.757269,-73.959311,ny_580
40.756091,-73.959311,ny_581
40.754913,-73.959311,ny_582
40.753734,-73.959311,ny_583
40.752556,-73.959311,ny_584
40.751377,-73.959311,ny_585
40.750199,-73.959311,ny_586
40.74902,-73.959311,ny_587
40.747842,-73.959311,ny_588
40.746663,-73.959311,ny_589
40.745484,-73.959311,ny_590
40.744306,-73.959311,ny_591
40.786723,-73.957742,ny_592
40.785545,-73.957742,ny_593
40.784367,-73.957742,ny_594
40.783189,-73.957742,ny_595
40.782011,-73.957742,ny_596
40.780833,-73.957742,ny_597
40.779655,-73.957742,ny_598
40.778477,-73.957742,ny_599
40.777299,-73.957742,ny_600
40.776121,-73.957742,ny_601
40.774943,-73.957742,ny_602
40.773765,-73.957742,ny_603
40.772587,-73.957742,ny_604
40.771409,-73.957742,ny_605
40.770231,-73.957742,ny_606
40.769052,-73.957742,ny_607
40.767874,-73.957742,ny_608
40.766696,-73.957742,ny_609
40.765518,-73.957742,ny_610
40.764339,-73.957742,ny_611
40.763161,-73.957742,ny_612
40.761983,-73.957742,ny_613
40.760805,-73.957742,ny_614
40.759626,-73.957742,ny_615
40.758448,-73.957742,ny_616
40.757269,-73.957742,ny_617
40.756091,-73.957742,ny_618
40.754913,-73.957742,ny_619
40.753734,-73.957742,ny_620
40.752556,-73.957742,ny_621
40.751377,-73.957742,ny_622
40.750199,-73.957742,ny_623
40.74902,-73.957742,ny_624
40.747842,-73.957742,ny_625
40.746663,-73.957742,ny_626
40.745484,-73.957742,ny_627
40.744306,-73.957742,ny_628
40.786723,-73.956173,ny_629
40.785545,-73.956173,ny_630
40.784367,-73.956173,ny_631
40.783189,-73.956173,ny_632
40.782011,-73.956173,ny_633
40.780833,-73.956173,ny_634
40.779655,-73.956173,ny_635
40.778477,-73.956173,ny_636
40.777299,-73.956173,ny_637
40.776121,-73.956173,ny_638
40.774943,-73.956173,ny_639
40.773765,-73.956173,ny_640
40.772587,-73.956173,ny_641
40.771409,-73.956173,ny_642
40.770231,-73.956173,ny_643
40.769052,-73.956173,ny_644
40.767874,-73.956173,ny_645
40.766696,-73.956173,ny_646
40.765518,-73.956173,ny_647
40.764339,-73.956173,ny_648
40.763161,-73.956173,ny_649
40.761983,-73.956173,ny_650
40.760805,-73.956173,ny_651
40.759626,-73.956173,ny_652
40.758448,-73.956173,ny_653
40.757269,-73.956173,ny_654
40.756091,-73.956173,ny_655
40.754913,-73.956173,ny_656
40.753734,-73.956173,ny_657
40.752556,-73.956173,ny_658
40.751377,-73.956173,ny_659
40.750199,-73.956173,ny_660
40.74902,-73.956173,ny_661
40.747842,-73.956173,ny_662
40.746663,-73.956173,ny_663
40.745484,-73.956173,ny_664
40.744306,-73.956173,ny_665
40.786723,-73.954604,ny_666
40.785545,-73.954604,ny_667
40.784367,-73.954604,ny_668
40.783189,-73.954604,ny_669
40.782011,-73.954604,ny_670
40.780833,-73.954604,ny_671
40.779655,-73.954604,ny_672
40.778477,-73.954604,ny_673
40.777299,-73.954604,ny_674
40.776121,-73.954604,ny_675
40.774943,-73.954604,ny_676
40.773765,-73.954604,ny_677
40.772587,-73.954604,ny_678
40.771409,-73.954604,ny_679
40.770231,-73.954604,ny_680
40.769052,-73.954604,ny_681
40.767874,-73.954604,ny_682
40.766696,-73.954604,ny_683
40.765518,-73.954604,ny_684
40.764339,-73.954604,ny_685
40.763161,-73.954604,ny_686
40.761983,-73.954604,ny_687
40.760805,-73.954604,ny_688
40.759626,-73.954604,ny_689
40.758448,-73.954604,ny_690
40.757269,-73.954604,ny_691
40.756091,-73.954604,ny_692
40.754913,-73.954604,ny_693
40.753734,-73.954604,ny_694
40.752556,-73.954604,ny_695
40.751377,-73.954604,ny_696
40.750199,-73.954604,ny_697
40.74902,-73.954604,ny_698
40.747842,-73.954604,ny_699
40.746663,-73.954604,ny_700
40.745484,-73.954604,ny_701
40.744306,-73.954604,ny_702
40.786723,-73.953035,ny_703
40.785545,-73.953035,ny_704
40.784367,-73.953035,ny_705
40.783189,-73.953035,ny_706
40.782011,-73.953035,ny_707
40.780833,-73.953035,ny_708
40.779655,-73.953035,ny_709
40.778477,-73.953035,ny_710
40.777299,-73.953035,ny_711
40.776121,-73.953035,ny_712
40.774943,-73.953035,ny_713
40.773765,-73.953035,ny_714
40.772587,-73.953035,ny_715
40.771409,-73.953035,ny_716
40.770231,-73.953035,ny_717
40.769052,-73.953035,ny_718
40.767874,-73.953035,ny_719
40.766696,-73.953035,ny_720
40.765518,-73.953035,ny_721
40.764339,-73.953035,ny_722
40.763161,-73.953035,ny_723
40.761983,-73.953035,ny_724
40.760805,-73.953035,ny_725
40.759626,-73.953035,ny_726
40.758448,-73.953035,ny_727
40.757269,-73.953035,ny_728
40.756091,-73.953035,ny_729
40.754913,-73.953035,ny_730
40.753734,-73.953035,ny_731
40.752556,-73.953035,ny_732
40.751377,-73.953035,ny_733
40.750199,-73.953035,ny_734
40.74902,-73.953035,ny_735
40.747842,-73.953035,ny_736
40.746663,-73.953035,ny_737
40.745484,-73.953035,ny_738
40.744306,-73.953035,ny_739
40.786723,-73.951466,ny_740
40.785545,-73.951466,ny_741
40.784367,-73.951466,ny_742
40.783189,-73.951466,ny_743
40.782011,-73.951466,ny_744
40.780833,-73.951466,ny_745
40.779655,-73.951466,ny_746
40.778477,-73.951466,ny_747
40.777299,-73.951466,ny_748
40.776121,-73.951466,ny_749
40.774943,-73.951466,ny_750
40.773765,-73.951466,ny_751
40.772587,-73.951466,ny_752
40.771409,-73.951466,ny_753
40.770231,-73.951466,ny_754
40.769052,-73.951466,ny_755
40.767874,-73.951466,ny_756
40.766696,-73.951466,ny_757
40.765518,-73.951466,ny_758
40.764339,-73.951466,ny_759
40.763161,-73.951466,ny_760
40.761983,-73.951466,ny_761
40.760805,-73.951466,ny_762
40.759626,-73.951466,ny_763
40.758448,-73.951466,ny_764
40.757269,-73.951466,ny_765
40.756091,-73.951466,ny_766
40.754913,-73.951466,ny_767
40.753734,-73.951466,ny_768
40.752556,-73.951466,ny_769
40.751377,-73.951466,ny_770
40.750199,-73.951466,ny_771
40.74902,-73.951466,ny_772
40.747842,-73.951466,ny_773
40.746663,-73.951466,ny_774
40.745484,-73.951466,ny_775
40.744306,-73.951466,ny_776
40.786723,-73.949897,ny_777
40.785545,-73.949897,ny_778
40.784367,-73.949897,ny_779
40.783189,-73.949897,ny_780
40.782011,-73.949897,ny_781
40.780833,-73.949897,ny_782
40.779655,-73.949897,ny_783
40.778477,-73.949897,ny_784
40.777299,-73.949897,ny_785
40.776121,-73.949897,ny_786
40.774943,-73.949897,ny_787
40.773765,-73.949897,ny_788
40.772587,-73.949897,ny_789
40.771409,-73.949897,ny_790
40.770231,-73.949897,ny_791
40.769052,-73.949897,ny_792
40.767874,-73.949897,ny_793
40.766696,-73.949897,ny_794
40.765518,-73.949897,ny_795
40.764339,-73.949897,ny_796
40.763161,-73.949897,ny_797
40.761983,-73.949897,ny_798
40.760805,-73.949897,ny_799
40.759626,-73.949897,ny_800
40.758448,-73.949897,ny_801
40.757269,-73.949897,ny_802
40.756091,-73.949897,ny_803
40.754913,-73.949897,ny_804
40.753734,-73.949897,ny_805
40.752556,-73.949897,ny_806
40.751377,-73.949897,ny_807
40.750199,-73.949897,ny_808
40.74902,-73.949897,ny_809
40.747842,-73.949897,ny_810
40.746663,-73.949897,ny_811
40.745484,-73.949897,ny_812
40.744306,-73.949897,ny_813
40.786723,-73.948327,ny_814
40.785545,-73.948327,ny_815
40.784367,-73.948327,ny_816
40.783189,-73.948327,ny_817
40.782011,-73.948327,ny_818
40.780833,-73.948327,ny_819
